,ARIMA_Mean,ARIMA_Lower_CI,ARIMA_Upper_CI,LSTM_Mean
2026-09-21,411.8399963378906,300.83132196493693,522.8486707108443,19.057305814624783
2026-09-22,411.8399963378906,299.91007235652415,523.769920319257,19.057305814621675
2026-09-23,411.8399963378906,298.9963435305285,524.6836491452527,19.05730581462137
2026-09-24,411.8399963378906,298.0899542484809,525.5900384273003,19.05730581462118
2026-09-25,411.8399963378906,297.19073043628754,526.4892622394937,19.057305814621056
2026-09-28,411.8399963378906,296.29850479389813,527.3814878818831,19.05730581462097
2026-09-29,411.8399963378906,295.4131164318977,528.2668762438835,19.057305814620904
2026-09-30,411.8399963378906,294.5344105327871,529.1455821429942,19.057305814620854
2026-10-01,411.8399963378906,293.662238034932,530.0177546408493,19.05730581462082
2026-10-02,411.8399963378906,292.79645533735373,530.8835373384275,19.057305814620793
2026-10-05,411.8399963378906,291.9369240237063,531.743068652075,19.05730581462078
2026-10-06,411.8399963378906,291.08351060393716,532.5964820718441,19.05730581462077
2026-10-07,411.8399963378906,290.236086272266,533.4439064035153,19.057305814620758
2026-10-08,411.8399963378906,289.39452668024046,534.2854659955408,19.057305814620754
2026-10-09,411.8399963378906,288.55871172373463,535.1212809520466,19.057305814620747
2026-10-12,411.8399963378906,287.72852534285914,535.9514673329221,19.057305814620747
2026-10-13,411.8399963378906,286.9038553338379,536.7761373419434,19.057305814620747
2026-10-14,411.8399963378906,286.0845931719887,537.5953995037926,19.057305814620744
2026-10-15,411.8399963378906,285.2706338450166,538.4093588307646,19.057305814620744
2026-10-16,411.8399963378906,284.46187569589597,539.2181169798853,19.057305814620744
2026-10-19,411.8399963378906,283.65822027467425,540.021772401107,19.05730581462074
2026-10-20,411.8399963378906,282.85957219858744,540.8204204771938,19.05730581462074
2026-10-21,411.8399963378906,282.0658390199232,541.614153655858,19.05730581462074
2026-10-22,411.8399963378906,281.2769311011149,542.4030615746664,19.05730581462074
2026-10-23,411.8399963378906,280.49276149658704,543.1872311791942,19.05730581462074
2026-10-26,411.8399963378906,279.71324584091303,543.9667468348682,19.05730581462074
2026-10-27,411.8399963378906,278.93830224287706,544.7416904329042,19.05730581462074
2026-10-28,411.8399963378906,278.16785118506317,545.512141490718,19.05730581462074
2026-10-29,411.8399963378906,277.40181542862445,546.2781772471568,19.05730581462074
2026-10-30,411.8399963378906,276.640119922908,547.0398727528732,19.05730581462074
2026-11-02,411.8399963378906,275.88269171963714,547.7973009561441,19.05730581462074
2026-11-03,411.8399963378906,275.12945989137313,548.5505327844081,19.05730581462074
2026-11-04,411.8399963378906,274.3803554539985,549.2996372217827,19.05730581462074
2026-11-05,411.8399963378906,273.63531129298127,550.0446813828,19.05730581462074
2026-11-06,411.8399963378906,272.89426209319856,550.7857305825827,19.05730581462074
2026-11-09,411.8399963378906,272.1571442721106,551.5228484036707,19.05730581462074
2026-11-10,411.8399963378906,271.42389591609214,552.2560967596892,19.05730581462074
2026-11-11,411.8399963378906,270.69445671974114,552.9855359560402,19.05730581462074
2026-11-12,411.8399963378906,269.9687679279956,553.7112247477856,19.05730581462074
2026-11-13,411.8399963378906,269.24677228090184,554.4332203948794,19.05730581462074
2026-11-16,411.8399963378906,268.5284139608873,555.151578714894,19.05730581462074
2026-11-17,411.8399963378906,267.81363854240027,555.866354133381,19.05730581462074
2026-11-18,411.8399963378906,267.1023929437878,556.5775997319935,19.05730581462074
2026-11-19,411.8399963378906,266.3946253812919,557.2853672944893,19.05730581462074
2026-11-20,411.8399963378906,265.6902853250507,557.9897073507306,19.05730581462074
2026-11-23,411.8399963378906,264.98932345699905,558.6906692187822,19.05730581462074
2026-11-24,411.8399963378906,264.291691630569,559.3883010452123,19.05730581462074
2026-11-25,411.8399963378906,263.5973428320975,560.0826498436837,19.05730581462074
2026-11-26,411.8399963378906,262.90623114385335,560.7737615319279,19.05730581462074
2026-11-27,411.8399963378906,262.21831170860094,561.4616809671803,19.05730581462074
2026-11-30,411.8399963378906,261.5335406956241,562.1464519801572,19.05730581462074
2026-12-01,411.8399963378906,260.85187526813684,562.8281174076444,19.05730581462074
2026-12-02,411.8399963378906,260.1732735520117,563.5067191237695,19.05730581462074
2026-12-03,411.8399963378906,259.49769460576294,564.1822980700183,19.05730581462074
2026-12-04,411.8399963378906,258.8250983917212,564.85489428406,19.05730581462074
2026-12-07,411.8399963378906,258.15544574834485,565.5245469274364,19.05730581462074
2026-12-08,411.8399963378906,257.48869836361166,566.1912943121696,19.05730581462074
2026-12-09,411.8399963378906,256.82481874944074,566.8551739263405,19.05730581462074
2026-12-10,411.8399963378906,256.1637702170964,567.5162224586849,19.05730581462074
2026-12-11,411.8399963378906,255.5055168535278,568.1744758222535,19.05730581462074
2026-12-14,411.8399963378906,254.85002349860176,568.8299691771795,19.05730581462074
2026-12-15,411.8399963378906,254.1972557231872,569.482736952594,19.05730581462074
2026-12-16,411.8399963378906,253.54717980805353,570.1328128677277,19.05730581462074
2026-12-17,411.8399963378906,252.89976272354528,570.7802299522359,19.05730581462074
2026-12-18,411.8399963378906,252.25497210999924,571.425020565782,19.05730581462074
2026-12-21,411.8399963378906,251.61277625887072,572.0672164169105,19.05730581462074
2026-12-22,411.8399963378906,250.9731440945379,572.7068485812433,19.05730581462074
