Date,Open,High,Low,Close,Adj Close,Volume
2021-07-27,411.15338725210887,411.18142503169713,407.4896224241449,410.3122253417969,410.3122253417969,67397100
2021-07-28,410.9384237416545,411.51789021824817,408.72335352250394,410.14398193359375,410.14398193359375,52472400
2021-07-29,411.0693312306445,412.9198819868287,411.05997579525564,411.8450622558594,411.8450622558594,47435300
2021-07-30,409.2840950781723,411.2935451911804,409.15323310150086,409.8448791503906,409.8448791503906,68951200
2021-08-02,411.55528082300833,412.1067095157106,408.62988215553224,408.98504638671875,408.98504638671875,58783300
2021-08-03,409.7794757496443,412.43382344600275,407.59244339115173,412.31231689453125,412.31231689453125,58053900
2021-08-04,411.03193395699765,412.28433581198715,410.050583021591,410.28424072265625,410.28424072265625,46732200
2021-08-05,411.4431375086628,412.96659014888616,411.12536648595767,412.8824768066406,412.8824768066406,38969700
2021-08-06,413.20023664333985,413.9853230057107,412.9198303207797,413.5647277832031,413.5647277832031,46930000
2021-08-09,413.5366870620658,413.85445807390835,412.46186747322616,413.228271484375,413.228271484375,41222600
2021-08-10,413.67690908891893,414.4526685963435,412.9946468851688,413.7423400878906,413.7423400878906,43339300
2021-08-11,414.80783999492405,414.8639155599606,413.6862716488568,414.77044677734375,414.77044677734375,44034300
2021-08-12,414.62089804805976,416.15370620330873,413.72366049428854,416.01348876953125,416.01348876953125,38909400
2021-08-13,416.4620637284058,416.78919015715337,415.9760660634455,416.7705078125,416.7705078125,39470300
2021-08-16,415.4713908619817,417.8827255582406,413.9199004513762,417.75189208984375,417.75189208984375,73740000
2021-08-17,415.2003672937734,415.87330259419554,412.03198379117543,415.0134582519531,415.0134582519531,92673900
2021-08-18,414.0039719428465,415.5648176300806,410.22808476985836,410.4710693359375,410.4710693359375,89351900
2021-08-19,407.7513077712783,412.30298304453,407.6111188768107,411.10662841796875,411.10662841796875,92812200
2021-08-20,411.45246811100355,414.70496457219946,410.96644191047403,414.3778381347656,414.3778381347656,72008700
2021-08-23,416.0601886079049,418.92951158354134,414.4526227295589,418.0229187011719,418.0229187011719,54973000
2021-08-24,418.6865539550781,419.2193003480419,418.17251843232447,418.6865539550781,418.6865539550781,38744700
2021-08-25,418.87347636542324,420.0791294982954,418.49960124676494,419.5650939941406,419.5650939941406,40529700
2021-08-26,419.2847079423929,419.5183656415265,416.99487960448477,417.0883483886719,417.0883483886719,57829600
2021-08-27,417.8921363097158,421.19138203158167,417.8360607411706,420.8175354003906,420.8175354003906,77235100
2021-08-30,421.49047733469286,423.4532078324658,421.2474641854184,422.6681213378906,422.6681213378906,48357400
2021-08-31,422.5745248356213,422.9109781504676,421.4436298305058,422.0417785644531,422.0417785644531,59300200
2021-09-01,422.9764722664043,423.4905077483613,422.03248612109024,422.2661437988281,422.2661437988281,48721400
2021-09-02,423.686814177093,424.36907636322894,422.3689814101181,423.5653076171875,423.5653076171875,42501000
2021-09-03,422.4344228744772,423.9765579301553,422.0325099688313,423.4624938964844,423.4624938964844,47170500
2021-09-07,423.1167444291313,423.2102132231523,421.2755204253354,421.9484558105469,421.9484558105469,51671500
2021-09-08,421.4156743425341,422.14468518971387,419.5183465302411,421.4343566894531,421.4343566894531,56181900
2021-09-09,421.23808970978325,422.9858446456514,419.38751055980504,419.6305236816406,419.6305236816406,57970400
2021-09-10,421.5558370150139,421.9764037145198,416.2003928599835,416.3218994140625,416.3218994140625,89948200
2021-09-13,419.3127250750678,419.57442052650157,415.07882068151736,417.3873596191406,417.3873596191406,83738600
2021-09-14,418.8267538323482,419.032373751366,414.24706856986353,415.1349792480469,415.1349792480469,78197100
2021-09-15,415.55542079095693,419.09767847838106,414.452563613368,418.6023254394531,418.6023254394531,78792200
2021-09-16,418.0790011528334,419.0509965202967,414.99470280608074,417.9388122558594,417.9388122558594,77786700
2021-09-17,417.16810338516024,417.5900174422534,413.5113432060983,413.8676452636719,413.8676452636719,118425000
2021-09-20,407.7543067769337,409.32950968626983,402.10978676408575,406.9667053222656,406.9667053222656,166445500
2021-09-21,409.30147394535885,410.59540113058426,406.0572991890718,406.5823669433594,406.5823669433594,92526100
2021-09-22,408.85136298150707,412.5831207202877,406.69483696311266,410.5484619140625,410.5484619140625,102350100
2021-09-23,412.41434258074156,417.1399803704705,412.17993634176355,415.53662109375,415.53662109375,76396000
2021-09-24,413.90516505538227,416.9337039803391,413.6895010133059,416.2210998535156,416.2210998535156,62094800
2021-09-27,415.18971469523467,416.3523605127942,414.33647253059087,415.03033447265625,415.03033447265625,61371100
2021-09-28,412.2643708805607,412.5925453791143,405.93540163406385,406.666748046875,406.666748046875,130436300
